collision_year,mean_cc,median_cc
1989,1534.3729985149182,1580
1990,1548.2760658662603,1587
1991,1552.7543911294279,1588
1992,1550.1044895670632,1590
1993,1558.8924001753323,1593
1994,1562.7183765041812,1593
1995,1575.3025227899088,1593
1996,1585.6001289075089,1595
1997,1598.399354543274,1596
1998,1612.8382647487254,1597
1999,1628.4611786265432,1597
2000,1635.371663820133,1597
2001,1652.856764288056,1597
2002,1671.7037089427674,1597
2003,1667.8769770992367,1598
2004,1668.8896876309598,1597
2005,1669.834109471271,1598
2006,1701.9651992651216,1598
2007,1705.7846020159889,1598
2008,1706.8946808120113,1598
2009,1715.0871628280468,1598
2010,1716.6346241285237,1598
2011,1713.6242353626565,1598
2012,1713.7243267404178,1598
2013,1708.6256004202942,1598
2014,1705.5600256565585,1598
2015,1705.3362783209643,1598
2016,1696.7589060950493,1598
2017,1694.511244602966,1598
2018,1690.8351394422311,1598
2019,1677.246883116883,1598
2020,1671.290277628899,1596
2021,1670.1112629022466,1596
2022,1655.5976325802058,1595
2023,1657.0109656538332,1591
2024,1629.6963876459674,1580
2025,1643.618909125584,1580
